Time,Charge of the electric vehicle (PV System) 
,kWh
24.05. 13:00,22.003
24.05. 14:00,0
24.05. 15:00,0
24.05. 16:00,0
24.05. 17:00,0
24.05. 18:00,0
24.05. 19:00,60.466
24.05. 20:00,73.401
24.05. 21:00,73.403
24.05. 22:00,69.375
24.05. 23:00,0
25.05. 00:00,0
25.05. 01:00,0
25.05. 02:00,0
25.05. 03:00,0
25.05. 04:00,0
25.05. 05:00,24.94515
25.05. 06:00,73.406
25.05. 07:00,31.506
25.05. 08:00,0
25.05. 09:00,33.005
25.05. 10:00,33.011
25.05. 11:00,10.236
25.05. 12:00,0
25.05. 13:00,0
25.05. 14:00,0
25.05. 15:00,0
25.05. 16:00,0
25.05. 17:00,0
25.05. 18:00,0
25.05. 19:00,73.33612
25.05. 20:00,73.401
25.05. 21:00,55.996
25.05. 22:00,0
25.05. 23:00,0
26.05. 00:00,0
26.05. 01:00,0
26.05. 02:00,0
26.05. 03:00,0
26.05. 04:00,0
26.05. 05:00,7.3384
26.05. 06:00,38.80943
26.05. 07:00,73.405
26.05. 08:00,73.407
26.05. 09:00,38.464
26.05. 10:00,0
26.05. 11:00,0
26.05. 12:00,0
26.05. 13:00,0
26.05. 14:00,0
26.05. 15:00,0
26.05. 16:00,0
26.05. 17:00,0
26.05. 18:00,0
26.05. 19:00,0
26.05. 20:00,0
26.05. 21:00,0
26.05. 22:00,0
26.05. 23:00,0
27.05. 00:00,0
27.05. 01:00,0
27.05. 02:00,0
27.05. 03:00,0
27.05. 04:00,0
27.05. 05:00,0
27.05. 06:00,0
27.05. 07:00,0
27.05. 08:00,0
27.05. 09:00,0
27.05. 10:00,0
27.05. 11:00,0
27.05. 12:00,0
27.05. 13:00,0
27.05. 14:00,0
27.05. 15:00,0
27.05. 16:00,0
27.05. 17:00,0
27.05. 18:00,0
27.05. 19:00,0
27.05. 20:00,0
27.05. 21:00,0
27.05. 22:00,0
27.05. 23:00,0
28.05. 00:00,0
28.05. 01:00,0
28.05. 02:00,0
28.05. 03:00,0
28.05. 04:00,0
28.05. 05:00,0
28.05. 06:00,0
28.05. 07:00,44.002
28.05. 08:00,44.004
28.05. 09:00,77.01
28.05. 10:00,33.011
28.05. 11:00,10.236
28.05. 12:00,0
28.05. 13:00,0
28.05. 14:00,0
28.05. 15:00,0
28.05. 16:00,0
28.05. 17:00,0
28.05. 18:00,0
28.05. 19:00,60.467
28.05. 20:00,73.401
28.05. 21:00,73.403
28.05. 22:00,8.7781
28.05. 23:00,8.1502
29.05. 00:00,7.663
29.05. 01:00,7.6059
29.05. 02:00,7.5619
29.05. 03:00,7.5542
29.05. 04:00,7.5533
29.05. 05:00,0
29.05. 06:00,30.78527
29.05. 07:00,48.848
29.05. 08:00,0
29.05. 09:00,55.005
29.05. 10:00,55.011
29.05. 11:00,32.237
29.05. 12:00,22.002
29.05. 13:00,22.003
29.05. 14:00,0
29.05. 15:00,0
29.05. 16:00,0
29.05. 17:00,0
29.05. 18:00,5.5198
29.05. 19:00,25.2927
29.05. 20:00,73.351
29.05. 21:00,73.401
29.05. 22:00,36.697
29.05. 23:00,9.5508
30.05. 00:00,7.803
30.05. 01:00,7.6557
30.05. 02:00,7.5526
30.05. 03:00,8.0595
30.05. 04:00,8.0593
30.05. 05:00,8.059
30.05. 06:00,27.037
30.05. 07:00,99.5995
30.05. 08:00,44.003
30.05. 09:00,77.01
30.05. 10:00,61.528
30.05. 11:00,10.236
30.05. 12:00,0
30.05. 13:00,0
30.05. 14:00,0
30.05. 15:00,0
30.05. 16:00,0
30.05. 17:00,0
30.05. 18:00,63.436
30.05. 19:00,73.357
30.05. 20:00,73.401
30.05. 21:00,73.402
30.05. 22:00,34.656
30.05. 23:00,8.9692
31.05. 00:00,7.9582
31.05. 01:00,7.7079
31.05. 02:00,7.6004
31.05. 03:00,7.5546
31.05. 04:00,7.5531
31.05. 05:00,14.8858
31.05. 06:00,73.405
31.05. 07:00,73.407
31.05. 08:00,0
31.05. 09:00,55.005
31.05. 10:00,55.011
31.05. 11:00,32.237
31.05. 12:00,22.002
31.05. 13:00,22.003
31.05. 14:00,0
31.05. 15:00,0
31.05. 16:00,0
31.05. 17:00,0
31.05. 18:00,9.303
31.05. 19:00,60.471
31.05. 20:00,73.401
31.05. 21:00,73.402
31.05. 22:00,8.7634
31.05. 23:00,8.1359
01.06. 00:00,7.6494
01.06. 01:00,7.5921
01.06. 02:00,7.5737
01.06. 03:00,7.5562
01.06. 04:00,7.5534
01.06. 05:00,14.7854
01.06. 06:00,21.04044
01.06. 07:00,110.38752
01.06. 08:00,44.004
01.06. 09:00,77.01
01.06. 10:00,33.011
01.06. 11:00,10.236
01.06. 12:00,0
01.06. 13:00,0
01.06. 14:00,0
01.06. 15:00,0
01.06. 16:00,0
01.06. 17:00,0
01.06. 18:00,21.222
01.06. 19:00,73.3504
01.06. 20:00,73.401
01.06. 21:00,61.063
01.06. 22:00,0
01.06. 23:00,0
02.06. 00:00,0
02.06. 01:00,0
02.06. 02:00,0
02.06. 03:00,0
02.06. 04:00,0
02.06. 05:00,16.7313
02.06. 06:00,73.404
02.06. 07:00,73.405
02.06. 08:00,73.407
02.06. 09:00,0
02.06. 10:00,0
02.06. 11:00,0
02.06. 12:00,0
02.06. 13:00,0
02.06. 14:00,0
02.06. 15:00,0
02.06. 16:00,0
02.06. 17:00,0
02.06. 18:00,0
02.06. 19:00,0
02.06. 20:00,0
02.06. 21:00,0
02.06. 22:00,0
02.06. 23:00,0
03.06. 00:00,0
03.06. 01:00,0
03.06. 02:00,0
03.06. 03:00,0
03.06. 04:00,0
03.06. 05:00,0
03.06. 06:00,0
03.06. 07:00,0
03.06. 08:00,0
03.06. 09:00,0
03.06. 10:00,0
03.06. 11:00,0
03.06. 12:00,0
03.06. 13:00,0
03.06. 14:00,0
03.06. 15:00,0
03.06. 16:00,0
03.06. 17:00,0
03.06. 18:00,0
03.06. 19:00,0
03.06. 20:00,0
03.06. 21:00,0
03.06. 22:00,0
03.06. 23:00,0
04.06. 00:00,0
04.06. 01:00,0
04.06. 02:00,0
04.06. 03:00,0
04.06. 04:00,0
04.06. 05:00,0
04.06. 06:00,0
04.06. 07:00,0
04.06. 08:00,0
04.06. 09:00,33.005
04.06. 10:00,33.011
04.06. 11:00,10.236
04.06. 12:00,0
04.06. 13:00,0
04.06. 14:00,0
04.06. 15:00,0
04.06. 16:00,0
04.06. 17:00,0
04.06. 18:00,0
04.06. 19:00,73.337
04.06. 20:00,73.401
04.06. 21:00,73.403
04.06. 22:00,68.66
04.06. 23:00,0
05.06. 00:00,0
05.06. 01:00,0
05.06. 02:00,0
05.06. 03:00,0
05.06. 04:00,0
05.06. 05:00,73.406
05.06. 06:00,66.492
05.06. 07:00,44.002
05.06. 08:00,44.003
05.06. 09:00,99.01
05.06. 10:00,55.011
05.06. 11:00,32.237
05.06. 12:00,22.002
05.06. 13:00,13.537
05.06. 14:00,14.017
05.06. 15:00,0
05.06. 16:00,0
05.06. 17:00,0
05.06. 18:00,0
05.06. 19:00,73.3498
05.06. 20:00,73.402
05.06. 21:00,58.477
05.06. 22:00,0
05.06. 23:00,0
06.06. 00:00,0
06.06. 01:00,0
06.06. 02:00,0
06.06. 03:00,0
06.06. 04:00,0
06.06. 05:00,44.53772
06.06. 06:00,73.405
06.06. 07:00,72.717
06.06. 08:00,0
06.06. 09:00,33.005
06.06. 10:00,33.011
06.06. 11:00,10.236
06.06. 12:00,0
06.06. 13:00,0
06.06. 14:00,0
06.06. 15:00,0
06.06. 16:00,0
06.06. 17:00,0
06.06. 18:00,53.871
06.06. 19:00,73.4014
06.06. 20:00,73.402
06.06. 21:00,73.403
06.06. 22:00,46.18
06.06. 23:00,0
07.06. 00:00,0
07.06. 01:00,0
07.06. 02:00,0
07.06. 03:00,0
07.06. 04:00,0
07.06. 05:00,72.47599
07.06. 06:00,51.914
07.06. 07:00,44.002
07.06. 08:00,44.003
07.06. 09:00,99.01
07.06. 10:00,76.56
07.06. 11:00,32.237
07.06. 12:00,22.002
07.06. 13:00,22.003
07.06. 14:00,0
07.06. 15:00,0
07.06. 16:00,0
07.06. 17:00,0
07.06. 18:00,0
07.06. 19:00,25.2995
07.06. 20:00,73.401
07.06. 21:00,73.402
07.06. 22:00,33.758
07.06. 23:00,8.7093
08.06. 00:00,7.7131
08.06. 01:00,7.5852
08.06. 02:00,7.565
08.06. 03:00,7.5582
08.06. 04:00,7.5558
08.06. 05:00,7.5535
08.06. 06:00,18.6194
08.06. 07:00,25.928
08.06. 08:00,0
08.06. 09:00,33.005
08.06. 10:00,33.011
08.06. 11:00,10.236
08.06. 12:00,0
08.06. 13:00,0
08.06. 14:00,0
08.06. 15:00,0
08.06. 16:00,0
08.06. 17:00,0
08.06. 18:00,15.5
08.06. 19:00,25.29
08.06. 20:00,73.379
08.06. 21:00,73.357
08.06. 22:00,33.659
08.06. 23:00,8.6004
09.06. 00:00,7.6054
09.06. 01:00,7.5616
09.06. 02:00,7.5548
09.06. 03:00,7.5545
09.06. 04:00,7.5543
09.06. 05:00,26.771
09.06. 06:00,73.404
09.06. 07:00,73.405
09.06. 08:00,55.004
09.06. 09:00,35.357
09.06. 10:00,0
09.06. 11:00,0
09.06. 12:00,0
09.06. 13:00,0
09.06. 14:00,0
09.06. 15:00,0
09.06. 16:00,0
09.06. 17:00,0
09.06. 18:00,0
09.06. 19:00,0
09.06. 20:00,0
09.06. 21:00,0
09.06. 22:00,0
09.06. 23:00,0
10.06. 00:00,0
10.06. 01:00,0
10.06. 02:00,0
10.06. 03:00,0
10.06. 04:00,0
10.06. 05:00,7.0035
10.06. 06:00,0
10.06. 07:00,0
10.06. 08:00,0
10.06. 09:00,0
10.06. 10:00,0
10.06. 11:00,0
10.06. 12:00,0
10.06. 13:00,0
10.06. 14:00,0
10.06. 15:00,0
10.06. 16:00,0
10.06. 17:00,0
10.06. 18:00,0
10.06. 19:00,0
10.06. 20:00,0
10.06. 21:00,0
10.06. 22:00,0
10.06. 23:00,0
11.06. 00:00,0
11.06. 01:00,0
11.06. 02:00,0
11.06. 03:00,0
11.06. 04:00,0
11.06. 05:00,0
11.06. 06:00,0
11.06. 07:00,44.002
11.06. 08:00,44.004
11.06. 09:00,77.01
11.06. 10:00,33.011
11.06. 11:00,10.236
11.06. 12:00,0
11.06. 13:00,0
11.06. 14:00,0
11.06. 15:00,0
11.06. 16:00,0
11.06. 17:00,0
11.06. 18:00,0
11.06. 19:00,25.2997
11.06. 20:00,73.401
11.06. 21:00,73.402
11.06. 22:00,35.556
11.06. 23:00,9.2284
12.06. 00:00,7.5189
12.06. 01:00,7.9845
12.06. 02:00,7.9842
12.06. 03:00,7.9839
12.06. 04:00,6.8979
12.06. 05:00,73.405
12.06. 06:00,55.005
12.06. 07:00,28.836
12.06. 08:00,0
12.06. 09:00,55.005
12.06. 10:00,55.011
12.06. 11:00,32.237
12.06. 12:00,22.002
12.06. 13:00,22.003
12.06. 14:00,0
12.06. 15:00,0
12.06. 16:00,0
12.06. 17:00,0
12.06. 18:00,0
12.06. 19:00,73.337
12.06. 20:00,73.401
12.06. 21:00,73.403
12.06. 22:00,7.2193
12.06. 23:00,7.9269
13.06. 00:00,7.9266
13.06. 01:00,7.9263
13.06. 02:00,7.9261
13.06. 03:00,7.9258
13.06. 04:00,7.9256
13.06. 05:00,32.83034
13.06. 06:00,34.84548
13.06. 07:00,117.41
13.06. 08:00,44.004
13.06. 09:00,77.01
13.06. 10:00,33.011
13.06. 11:00,10.236
13.06. 12:00,0
13.06. 13:00,0
13.06. 14:00,0
13.06. 15:00,0
13.06. 16:00,0
13.06. 17:00,0
13.06. 18:00,14.3
13.06. 19:00,60.469
13.06. 20:00,73.401
13.06. 21:00,73.402
13.06. 22:00,70.948
13.06. 23:00,0
14.06. 00:00,0
14.06. 01:00,0
14.06. 02:00,0
14.06. 03:00,0
14.06. 04:00,0
14.06. 05:00,6.8975
14.06. 06:00,31.20832
14.06. 07:00,36.181
14.06. 08:00,0
14.06. 09:00,55.005
14.06. 10:00,55.011
14.06. 11:00,32.237
14.06. 12:00,22.002
14.06. 13:00,22.003
14.06. 14:00,0
14.06. 15:00,0
14.06. 16:00,0
14.06. 17:00,0
14.06. 18:00,15.103
14.06. 19:00,73.3542
14.06. 20:00,73.401
14.06. 21:00,73.402
14.06. 22:00,48.371
14.06. 23:00,12.82
15.06. 00:00,7.7318
15.06. 01:00,7.5865
15.06. 02:00,7.5681
15.06. 03:00,7.5613
15.06. 04:00,7.5547
15.06. 05:00,47.98227
15.06. 06:00,73.407
15.06. 07:00,81.417
15.06. 08:00,44.003
15.06. 09:00,77.01
15.06. 10:00,52.357
15.06. 11:00,10.236
15.06. 12:00,0
15.06. 13:00,0
15.06. 14:00,0
15.06. 15:00,0
15.06. 16:00,0
15.06. 17:00,0
15.06. 18:00,0
15.06. 19:00,73.348
15.06. 20:00,73.402
15.06. 21:00,73.403
15.06. 22:00,30.649
15.06. 23:00,7.7191
16.06. 00:00,7.5564
16.06. 01:00,7.5542
16.06. 02:00,7.5534
16.06. 03:00,0
16.06. 04:00,0
16.06. 05:00,0
16.06. 06:00,60.91504
16.06. 07:00,73.407
16.06. 08:00,0
16.06. 09:00,0
16.06. 10:00,0
16.06. 11:00,0
16.06. 12:00,0
16.06. 13:00,0
16.06. 14:00,0
16.06. 15:00,0
16.06. 16:00,0
16.06. 17:00,0
16.06. 18:00,0
16.06. 19:00,0
16.06. 20:00,0
16.06. 21:00,0
16.06. 22:00,0
16.06. 23:00,0
17.06. 00:00,0
17.06. 01:00,0
17.06. 02:00,0
17.06. 03:00,0
17.06. 04:00,0
17.06. 05:00,0
17.06. 06:00,0
17.06. 07:00,0
17.06. 08:00,0
17.06. 09:00,0
17.06. 10:00,0
17.06. 11:00,0
17.06. 12:00,0
17.06. 13:00,0
17.06. 14:00,0
17.06. 15:00,0
17.06. 16:00,0
17.06. 17:00,0
17.06. 18:00,0
17.06. 19:00,0
17.06. 20:00,0
17.06. 21:00,0
17.06. 22:00,0
17.06. 23:00,0
18.06. 00:00,0
18.06. 01:00,0
18.06. 02:00,0
18.06. 03:00,0
18.06. 04:00,0
18.06. 05:00,0
18.06. 06:00,0
18.06. 07:00,0
18.06. 08:00,0
18.06. 09:00,33.005
18.06. 10:00,33.011
18.06. 11:00,10.236
18.06. 12:00,0
18.06. 13:00,0
18.06. 14:00,0
18.06. 15:00,0
18.06. 16:00,0
18.06. 17:00,0
18.06. 18:00,0
18.06. 19:00,73.334
18.06. 20:00,73.402
18.06. 21:00,73.403
18.06. 22:00,55.114
18.06. 23:00,0
19.06. 00:00,0
19.06. 01:00,0
19.06. 02:00,0
19.06. 03:00,0
19.06. 04:00,0
19.06. 05:00,40.87677
19.06. 06:00,69.1254
19.06. 07:00,70.737
19.06. 08:00,44.003
19.06. 09:00,99.01
19.06. 10:00,75.235
19.06. 11:00,32.237
19.06. 12:00,22.002
19.06. 13:00,22.003
19.06. 14:00,0
19.06. 15:00,0
19.06. 16:00,0
19.06. 17:00,0
19.06. 18:00,0
19.06. 19:00,73.3318
19.06. 20:00,73.402
19.06. 21:00,66.244
19.06. 22:00,0
19.06. 23:00,7.2834
20.06. 00:00,7.2832
20.06. 01:00,7.283
20.06. 02:00,7.2827
20.06. 03:00,7.2825
20.06. 04:00,7.2823
20.06. 05:00,7.282
20.06. 06:00,16.4404
20.06. 07:00,33.284
20.06. 08:00,0
20.06. 09:00,33.005
20.06. 10:00,33.011
20.06. 11:00,10.236
20.06. 12:00,0
20.06. 13:00,0
20.06. 14:00,0
20.06. 15:00,0
20.06. 16:00,0
20.06. 17:00,0
20.06. 18:00,73.374
20.06. 19:00,60.476
20.06. 20:00,73.384
20.06. 21:00,73.402
20.06. 22:00,0
20.06. 23:00,0
21.06. 00:00,0
21.06. 01:00,0
21.06. 02:00,0
21.06. 03:00,0
21.06. 04:00,0
21.06. 05:00,16.4607
21.06. 06:00,20.34162
21.06. 07:00,69.589
21.06. 08:00,44.003
21.06. 09:00,99.01
21.06. 10:00,55.011
21.06. 11:00,32.237
21.06. 12:00,22.002
21.06. 13:00,22.003
21.06. 14:00,0
21.06. 15:00,0
21.06. 16:00,0
21.06. 17:00,0
21.06. 18:00,73.383
21.06. 19:00,60.488
21.06. 20:00,73.386
21.06. 21:00,73.402
21.06. 22:00,8.552
21.06. 23:00,7.9194
22.06. 00:00,7.6643
22.06. 01:00,7.5556
22.06. 02:00,8.0619
22.06. 03:00,8.0616
22.06. 04:00,8.0613
22.06. 05:00,15.7719
22.06. 06:00,55.7026
22.06. 07:00,73.405
22.06. 08:00,0
22.06. 09:00,33.005
22.06. 10:00,77.014
22.06. 11:00,54.241
22.06. 12:00,16.729
22.06. 13:00,0
22.06. 14:00,0
22.06. 15:00,0
22.06. 16:00,0
22.06. 17:00,0
22.06. 18:00,73.02
22.06. 19:00,73.3895
22.06. 20:00,73.4022
22.06. 21:00,73.403
22.06. 22:00,51.495
22.06. 23:00,0
23.06. 00:00,0
23.06. 01:00,0
23.06. 02:00,0
23.06. 03:00,0
23.06. 04:00,0
23.06. 05:00,63.70956
23.06. 06:00,18.402
23.06. 07:00,8.2227
23.06. 08:00,0
23.06. 09:00,0
23.06. 10:00,0
23.06. 11:00,0
23.06. 12:00,0
23.06. 13:00,0
23.06. 14:00,0
23.06. 15:00,0
23.06. 16:00,0
23.06. 17:00,0
23.06. 18:00,0
23.06. 19:00,0
23.06. 20:00,0
23.06. 21:00,0
23.06. 22:00,0
23.06. 23:00,0
24.06. 00:00,0
24.06. 01:00,0
24.06. 02:00,0
24.06. 03:00,0
24.06. 04:00,0
24.06. 05:00,0
24.06. 06:00,0
24.06. 07:00,0
24.06. 08:00,0
24.06. 09:00,0
24.06. 10:00,0
24.06. 11:00,0
24.06. 12:00,0
24.06. 13:00,0
24.06. 14:00,0
24.06. 15:00,0
24.06. 16:00,0
24.06. 17:00,0
24.06. 18:00,0
24.06. 19:00,0
24.06. 20:00,0
24.06. 21:00,0
24.06. 22:00,0
24.06. 23:00,0
25.06. 00:00,0
25.06. 01:00,0
25.06. 02:00,0
25.06. 03:00,0
25.06. 04:00,0
25.06. 05:00,0
25.06. 06:00,0
25.06. 07:00,0
25.06. 08:00,0
25.06. 09:00,33.005
25.06. 10:00,33.011
25.06. 11:00,10.236
25.06. 12:00,0
25.06. 13:00,0
25.06. 14:00,0
25.06. 15:00,0
25.06. 16:00,0
25.06. 17:00,0
25.06. 18:00,0
25.06. 19:00,60.487
25.06. 20:00,73.401
25.06. 21:00,73.402
25.06. 22:00,68.965
25.06. 23:00,0
26.06. 00:00,0
26.06. 01:00,0
26.06. 02:00,0
26.06. 03:00,0
26.06. 04:00,0
26.06. 05:00,6.8979
26.06. 06:00,50.29334
26.06. 07:00,117.41
26.06. 08:00,44.004
26.06. 09:00,99.011
26.06. 10:00,55.011
26.06. 11:00,32.237
26.06. 12:00,22.002
26.06. 13:00,22.003
26.06. 14:00,0
26.06. 15:00,0
26.06. 16:00,0
26.06. 17:00,0
26.06. 18:00,18.386
26.06. 19:00,73.367
26.06. 20:00,73.401
26.06. 21:00,73.403
26.06. 22:00,54.78
26.06. 23:00,0
27.06. 00:00,0
27.06. 01:00,0
27.06. 02:00,0
27.06. 03:00,0
27.06. 04:00,0
27.06. 05:00,73.405
27.06. 06:00,55.004
27.06. 07:00,45.737
27.06. 08:00,0
27.06. 09:00,33.005
27.06. 10:00,33.011
27.06. 11:00,10.236
27.06. 12:00,0
27.06. 13:00,0
27.06. 14:00,0
27.06. 15:00,0
27.06. 16:00,0
27.06. 17:00,0
27.06. 18:00,0
27.06. 19:00,73.347
27.06. 20:00,73.40216
27.06. 21:00,73.403
27.06. 22:00,55.365
27.06. 23:00,0
28.06. 00:00,0
28.06. 01:00,0
28.06. 02:00,0
28.06. 03:00,0
28.06. 04:00,0
28.06. 05:00,73.406
28.06. 06:00,66.03
28.06. 07:00,44.002
28.06. 08:00,44.004
28.06. 09:00,99.01
28.06. 10:00,55.011
28.06. 11:00,32.237
28.06. 12:00,22.002
28.06. 13:00,22.003
28.06. 14:00,0
28.06. 15:00,0
28.06. 16:00,0
28.06. 17:00,0
28.06. 18:00,0
28.06. 19:00,73.349
28.06. 20:00,73.40211
28.06. 21:00,73.403
28.06. 22:00,56.459
28.06. 23:00,0
29.06. 00:00,0
29.06. 01:00,0
29.06. 02:00,0
29.06. 03:00,0
29.06. 04:00,0
29.06. 05:00,66.48009
29.06. 06:00,53.522
29.06. 07:00,14.272
29.06. 08:00,0
29.06. 09:00,33.005
29.06. 10:00,33.011
29.06. 11:00,10.236
29.06. 12:00,0
29.06. 13:00,0
29.06. 14:00,0
29.06. 15:00,0
29.06. 16:00,0
29.06. 17:00,0
29.06. 18:00,0
29.06. 19:00,60.472
29.06. 20:00,73.401
29.06. 21:00,73.402
29.06. 22:00,0
29.06. 23:00,0
30.06. 00:00,0
30.06. 01:00,0
30.06. 02:00,0
30.06. 03:00,0
30.06. 04:00,0
30.06. 05:00,71.1714
30.06. 06:00,73.405
30.06. 07:00,73.408
30.06. 08:00,0
30.06. 09:00,0
30.06. 10:00,0
30.06. 11:00,0
30.06. 12:00,0
30.06. 13:00,0
30.06. 14:00,0
30.06. 15:00,0
30.06. 16:00,0
30.06. 17:00,0
30.06. 18:00,0
30.06. 19:00,0
30.06. 20:00,0
30.06. 21:00,0
30.06. 22:00,0
30.06. 23:00,0
01.07. 00:00,0
01.07. 01:00,0
01.07. 02:00,0
01.07. 03:00,0
01.07. 04:00,0
01.07. 05:00,0
01.07. 06:00,0
01.07. 07:00,0
01.07. 08:00,0
01.07. 09:00,0
01.07. 10:00,0
01.07. 11:00,0
01.07. 12:00,0
01.07. 13:00,0
01.07. 14:00,0
01.07. 15:00,0
01.07. 16:00,0
01.07. 17:00,0
01.07. 18:00,0
01.07. 19:00,0
01.07. 20:00,0
01.07. 21:00,0
01.07. 22:00,0
01.07. 23:00,0
02.07. 00:00,0
02.07. 01:00,0
02.07. 02:00,0
02.07. 03:00,0
02.07. 04:00,0
02.07. 05:00,0
02.07. 06:00,0
02.07. 07:00,20.481
02.07. 08:00,44.003
02.07. 09:00,77.009
02.07. 10:00,76.7
02.07. 11:00,10.236
02.07. 12:00,0
02.07. 13:00,0
02.07. 14:00,0
02.07. 15:00,0
02.07. 16:00,0
02.07. 17:00,0
02.07. 18:00,0
02.07. 19:00,73.332
02.07. 20:00,73.40202
02.07. 21:00,73.403
02.07. 22:00,55.317
02.07. 23:00,0
03.07. 00:00,0
03.07. 01:00,0
03.07. 02:00,0
03.07. 03:00,0
03.07. 04:00,0
03.07. 05:00,29.69027
03.07. 06:00,42.252
03.07. 07:00,68.921
03.07. 08:00,0
03.07. 09:00,54.983
03.07. 10:00,55.011
03.07. 11:00,32.237
03.07. 12:00,22.002
03.07. 13:00,22.003
03.07. 14:00,0
03.07. 15:00,0
03.07. 16:00,0
03.07. 17:00,0
03.07. 18:00,0
03.07. 19:00,73.353
03.07. 20:00,73.40194
03.07. 21:00,73.403
03.07. 22:00,11.524
03.07. 23:00,8.7612
04.07. 00:00,7.7664
04.07. 01:00,7.6369
04.07. 02:00,7.5905
04.07. 03:00,7.572
04.07. 04:00,7.5543
04.07. 05:00,45.71107
04.07. 06:00,73.407
04.07. 07:00,84.441
04.07. 08:00,44.004
04.07. 09:00,77.01
04.07. 10:00,33.011
04.07. 11:00,10.236
04.07. 12:00,0
04.07. 13:00,0
04.07. 14:00,0
04.07. 15:00,0
04.07. 16:00,0
04.07. 17:00,0
04.07. 18:00,0
04.07. 19:00,73.347
04.07. 20:00,73.40207
04.07. 21:00,73.403
04.07. 22:00,31.872
04.07. 23:00,8.0758
05.07. 00:00,7.7343
05.07. 01:00,7.6248
05.07. 02:00,7.5785
05.07. 03:00,0
05.07. 04:00,0
05.07. 05:00,0
05.07. 06:00,14.9962
05.07. 07:00,16.772
05.07. 08:00,0
05.07. 09:00,54.983
05.07. 10:00,55.011
05.07. 11:00,32.237
05.07. 12:00,22.002
05.07. 13:00,22.002
05.07. 14:00,8.2254
05.07. 15:00,0
05.07. 16:00,0
05.07. 17:00,0
05.07. 18:00,28.263
05.07. 19:00,73.362
05.07. 20:00,73.34691
05.07. 21:00,73.402
05.07. 22:00,7.8679
05.07. 23:00,7.646
06.07. 00:00,7.5878
06.07. 01:00,7.5692
06.07. 02:00,7.5624
06.07. 03:00,7.5558
06.07. 04:00,7.55492
06.07. 05:00,7.8424
06.07. 06:00,22.382
06.07. 07:00,82.869
06.07. 08:00,44.003
06.07. 09:00,77.009
06.07. 10:00,62.785
06.07. 11:00,10.236
06.07. 12:00,0
06.07. 13:00,0
06.07. 14:00,0
06.07. 15:00,0
06.07. 16:00,0
06.07. 17:00,0
06.07. 18:00,73.379
06.07. 19:00,73.3514
06.07. 20:00,73.40089
06.07. 21:00,73.402
06.07. 22:00,51.696
06.07. 23:00,0
07.07. 00:00,0
07.07. 01:00,0
07.07. 02:00,0
07.07. 03:00,0
07.07. 04:00,0
07.07. 05:00,73.405
07.07. 06:00,73.407
07.07. 07:00,41.498
07.07. 08:00,0
07.07. 09:00,0
07.07. 10:00,0
07.07. 11:00,0
07.07. 12:00,0
07.07. 13:00,0
07.07. 14:00,0
07.07. 15:00,0
07.07. 16:00,0
07.07. 17:00,0
07.07. 18:00,0
07.07. 19:00,0
07.07. 20:00,0
07.07. 21:00,0
07.07. 22:00,0
07.07. 23:00,0
08.07. 00:00,0
08.07. 01:00,0
08.07. 02:00,0
08.07. 03:00,0
08.07. 04:00,0
08.07. 05:00,0
08.07. 06:00,0
08.07. 07:00,0
08.07. 08:00,0
08.07. 09:00,0
08.07. 10:00,0
08.07. 11:00,0
08.07. 12:00,0
08.07. 13:00,0
08.07. 14:00,0
08.07. 15:00,0
08.07. 16:00,0
08.07. 17:00,0
08.07. 18:00,0
08.07. 19:00,0
08.07. 20:00,0
08.07. 21:00,0
08.07. 22:00,0
08.07. 23:00,0
09.07. 00:00,0
09.07. 01:00,0
09.07. 02:00,0
09.07. 03:00,0
09.07. 04:00,0
09.07. 05:00,0
09.07. 06:00,0
09.07. 07:00,0
09.07. 08:00,0
09.07. 09:00,33.005
09.07. 10:00,33.011
09.07. 11:00,10.236
09.07. 12:00,0
09.07. 13:00,0
09.07. 14:00,0
09.07. 15:00,0
09.07. 16:00,0
09.07. 17:00,0
09.07. 18:00,0
09.07. 19:00,73.331
09.07. 20:00,73.402
09.07. 21:00,73.403
09.07. 22:00,13.527
09.07. 23:00,8.6143
10.07. 00:00,7.6055
10.07. 01:00,7.5614
10.07. 02:00,7.5546
10.07. 03:00,7.5536
10.07. 04:00,8.0625
10.07. 05:00,6.8974
10.07. 06:00,32.99038
10.07. 07:00,106.0767
10.07. 08:00,44.004
10.07. 09:00,99.01
10.07. 10:00,55.011
10.07. 11:00,32.237
10.07. 12:00,22.002
10.07. 13:00,22.003
10.07. 14:00,0
10.07. 15:00,0
10.07. 16:00,0
10.07. 17:00,0
10.07. 18:00,55.96
10.07. 19:00,73.384
10.07. 20:00,73.402
10.07. 21:00,73.403
10.07. 22:00,66.809
10.07. 23:00,0
11.07. 00:00,0
11.07. 01:00,0
11.07. 02:00,0
11.07. 03:00,0
11.07. 04:00,0
11.07. 05:00,44.06617
11.07. 06:00,18.402
11.07. 07:00,0
11.07. 08:00,0
11.07. 09:00,33.005
11.07. 10:00,33.011
11.07. 11:00,10.236
11.07. 12:00,0
11.07. 13:00,0
11.07. 14:00,0
11.07. 15:00,0
11.07. 16:00,0
11.07. 17:00,0
11.07. 18:00,0
11.07. 19:00,73.35
11.07. 20:00,73.401
11.07. 21:00,73.402
11.07. 22:00,0
11.07. 23:00,0
12.07. 00:00,0
12.07. 01:00,0
12.07. 02:00,0
